0,1,2,3
216,ДОЛЯ ДЕТЕЙ В ВОЗРАСТЕ ОТ ГОДА ДО ЛЕТ ОХВАЧЕННЫХ РАЗЛИЧНЫМИ ФОРМАМИ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ В ОБЩЕЙ ЧИСЛЕННОСТИ ДЕТЕЙ ДОШКОЛЬНОГО ВОЗРАСТА,"['доля_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN', 'год_NOUN', 'охватывать_VERB', 'различный_ADJ', 'форма_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'ребенок_NOUN', 'дошкольный_ADJ', 'возраст_NOUN']",26
220,ОТНОШЕНИЕ ЧИСЛЕННОСТИ ДЕТЕЙ ЛЕТ КОТОРЫМ ПРЕДОСТАВЛЕНА ВОЗМОЖНОСТЬ ПОЛУЧАТЬ УСЛУГИ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ К ОБЩЕЙ ЧИСЛЕННОСТИ ДЕТЕЙ В ВОЗРАСТЕ ЛЕТ,"['отношение_NOUN', 'численность_NOUN', 'ребенок_NOUN', 'год_NOUN', 'который_DET', 'предоставление_NOUN', 'возможность_NOUN', 'получение_NOUN', 'услуга_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN']",58
229,ВВЕДЕНИЕ ДОПОЛНИТЕЛЬНЫХ МЕСТ В СИСТЕМЕ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ,"['введение_NOUN', 'дополнительный_ADJ', 'место_NOUN', 'система_NOUN', 'дошкольный_ADJ', 'образование_NOUN']",8
237,ОТНОШЕНИЕ СРЕДНЕМЕСЯЧНОЙ ЗАРАБОТНОЙ ПЛАТЫ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ К СРЕДНЕЙ ЗАРАБОТНОЙ ПЛАТЕ В ОБЩЕМ ОБРАЗОВАНИИ ЕЛАНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ВОЛГОГРАДСКОЙ ОБЛАСТИ,"['отношение_NOUN', 'среднемесячный_ADJ', 'заработный_ADJ', 'плата_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'организация_NOUN', 'среднее_NOUN', 'заработный_ADJ', 'плата_NOUN', 'общий_ADJ', 'образование_NOUN', 'муниципальный_ADJ', 'район_NOUN', 'волгоградский_ADJ', 'область_NOUN']",-1
241,УДЕЛЬНЫЙ ВЕС МУНИЦИПАЛЬНЫХ ОБРАЗОВАНИЙ В КОТОРЫХ ОЦЕНКА ДЕЯТЕЛЬНОСТИ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ИХ РУКОВОДИТЕЛЕЙ И ОСНОВНЫХ КАТЕГОРИЙ РАБОТНИКОВ ОСУЩЕСТВЛЯЕТСЯ НА ОСНОВАНИИ ПОКАЗАТЕЛЕЙ ЭФФЕКТИВНОСТИ ДЕЯТЕЛЬНОСТИ ПОДВЕДОМСТВЕННЫХ МУНИЦИПАЛЬНЫХ ОРГАНИЗАЦИЙ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ НЕ МЕНЕЕ ЧЕМ В ПРОЦЕНТАХ МУНИЦИПАЛЬНЫХ ОБРАЗОВАНИЙ,"['удельный_ADJ', 'вес_NOUN', 'муниципальный_ADJ', 'образование_NOUN', 'который_DET', 'оценка_NOUN', 'деятельность_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'организация_NOUN', 'руководитель_NOUN', 'основание_NOUN', 'категория_NOUN', 'работник_NOUN', 'осуществляться_VERB', 'основание_NOUN', 'показатель_NOUN', 'эффективность_NOUN', 'деятельность_NOUN', 'подведомственный_ADJ', 'муниципальный_ADJ', 'организация_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'менее_ADV', 'процент_NOUN', 'муниципальный_ADJ', 'образование_NOUN']",-1
242,УДОВЛЕТВОРЕННОСТЬ НАСЕЛЕНИЯ КАЧЕСТВОМ РЕАЛИЗАЦИИ ПРОГРАММ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ,"['удовлетворенность_NOUN', 'население_NOUN', 'качество_NOUN', 'реализация_NOUN', 'программа_NOUN', 'дошкольный_ADJ', 'образование_NOUN']",-1
244,УДЕЛЬНЫЙ ВЕС ДЕТЕЙ ДОШКОЛЬНОГО ВОЗРАСТА ИМЕЮЩИХ ВОЗМОЖНОСТЬ ПОЛУЧАТЬ УСЛУГИ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ ОТ ОБЩЕГО КОЛИЧЕСТВА ДЕТЕЙ В ВОЗРАСТЕ ОТ ДО ЛЕТ С В ДО В,"['удельный_ADJ', 'вес_NOUN', 'ребенок_NOUN', 'дошкольный_ADJ', 'возраст_NOUN', 'иметь_VERB', 'возможность_NOUN', 'получение_NOUN', 'услуга_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'общий_ADJ', 'количество_NOUN', 'ребенок_NOUN', 'возраст_NOUN', 'год_NOUN']",42
252,ДОЛЯ МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ ЗДАНИЯ КОТОРЫЕ ОНИ ЗАНИМАЮТ НАХОДЯТСЯ В АВАРИЙНОМ СОСТОЯНИИ ИЛИ ТРЕБУЮТ КАПИТАЛЬНОГО РЕМОНТА В ОБЩЕМ КОЛИЧЕСТВЕ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ,"['доля_NOUN', 'муниципальный_ADJ', 'образование_NOUN', 'организация_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'здание_NOUN', 'который_DET', 'занимать_VERB', 'находиться_VERB', 'аварийный_ADJ', 'состояние_NOUN', 'требовать_VERB', 'капитальный_ADJ', 'ремонт_NOUN', 'общий_ADJ', 'количество_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'организация_NOUN']",-1
259,ВЫПОЛНЕНИЕ ТРЕБОВАНИЙ К УСТРОЙСТВУ И СОДЕРЖАНИЮ ДОШКОЛЬНЫХ УЧРЕЖДЕНИЙ,"['выполнение_NOUN', 'требование_NOUN', 'устройство_NOUN', 'содержание_NOUN', 'дошкольный_ADJ', 'учреждение_NOUN']",-1
273,УДЕЛЬНЫЙ ВЕС ВОСПИТАННИКОВ МУНИЦИПАЛЬНЫХ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ОБУЧАЮЩИХСЯ ПО ПРОГРАММАМ СООТВЕТСТВУЮЩИМ ТРЕБОВАНИЯМ СТАНДАРТОВ ДОШКОЛЬНОГО ОБРАЗОВАНИЯ В ОБЩЕЙ ЧИСЛЕННОСТИ ВОСПИТАННИКОВ ДОШКОЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ,"['удельный_ADJ', 'вес_NOUN', 'воспитанник_NOUN', 'муниципальный_ADJ', 'дошкольный_ADJ', 'образование_NOUN', 'организация_NOUN', 'обученность_NOUN', 'программа_NOUN', 'соответствие_NOUN', 'требование_NOUN', 'стандарт_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'общий_ADJ', 'численность_NOUN', 'воспитанник_NOUN', 'дошкольный_ADJ', 'образование_NOUN', 'организация_NOUN']",47
