0,1,2,3
205,УЧАСТИЯ ОБУЧАЮЩИХСЯ В РАМКАХ СИСТЕМЫ ОБЩЕГО И ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ В МУНИЦИПАЛЬНЫХ РЕГИОНАЛЬНЫХ ВСЕРОССИЙСКИХ МЕРОПРИЯТИЯХ ФЕСТИВАЛЯХ КОНКУРСАХ СОРЕВНОВАНИЯХ ОЛИМПИАДАХ МАСТЕР-КЛАССАХ И ДРУГИХ МЕРОПРИЯТИЯХ ДЛЯ ВЫЯВЛЕНИЯ ОДАРЕННЫХ ДЕТЕЙ В РАЗЛИЧНЫХ ОБЛАСТЯХ ИНТЕЛЛЕКТУАЛЬНОЙ И ТВОРЧЕСКОЙ ДЕЯТЕЛЬНОСТИ,"['участие_NOUN', 'обученность_NOUN', 'рамка_NOUN', 'система_NOUN', 'общий_ADJ', 'дополнительный_ADJ', 'образование_NOUN', 'муниципальный_ADJ', 'региональный_ADJ', 'всероссийский_ADJ', 'мероприятие_NOUN', 'фестиваль_NOUN', 'конкурс_NOUN', 'соревнование_NOUN', 'олимпиада_NOUN', 'мастер-класс_NOUN', 'мероприятие_NOUN', 'выявление_NOUN', 'одаренность_NOUN', 'ребенок_NOUN', 'различный_ADJ', 'область_NOUN', 'интеллектуальный_ADJ', 'творческий_ADJ', 'деятельность_NOUN']",-1
206,СРЕДНЕМЕСЯЧНАЯ НОМИНАЛЬНАЯ НАЧИСЛЕННАЯ ЗАРАБОТНАЯ ПЛАТА РАБОТНИКОВ МУНИЦИПАЛЬНЫХ УЧРЕЖДЕНИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ,"['среднемесячный_ADJ', 'номинальный_ADJ', 'начисление_NOUN', 'заработный_ADJ', 'плата_NOUN', 'работник_NOUN', 'муниципальный_ADJ', 'учреждение_NOUN', 'дополнительный_ADJ', 'образование_NOUN']",8
232,ДОЛЯ УЧАЩИХСЯ ЗАНИМАЮЩИХСЯ В ОРГАНИЗАЦИЯХ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ,"['доля_NOUN', 'учащийся_NOUN', 'заниматься_VERB', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN']",29
238,УДЕЛЬНЫЙ ВЕС ЧИСЛА ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ОБЩЕГО И ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ В КОТОРЫХ СОЗДАНЫ ОРГАНЫ КОЛЛЕГИАЛЬНОГО УПРАВЛЕНИЯ С УЧАСТИЕМ ОБЩЕСТВЕННОСТИ РОДИТЕЛИ ЗАКОННЫЕ ПРЕДСТАВИТЕЛИ РАБОТОДАТЕЛИ В ОБЩЕМ ЧИСЛЕ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ИСПОЛЬЗУЮЩИЕ В ОСНОВЕ ВЫРАБОТКИ УПРАВЛЕНЧЕСКИХ РЕШЕНИЙ РЕЗУЛЬТАТЫ ОЦЕНКИ КАЧЕСТВА ОБРАЗОВАНИЯ,"['удельный_ADJ', 'вес_NOUN', 'число_NOUN', 'образование_NOUN', 'организация_NOUN', 'общий_ADJ', 'дополнительный_ADJ', 'образование_NOUN', 'который_DET', 'создавать_VERB', 'орган_NOUN', 'коллегиальный_ADJ', 'управление_NOUN', 'участие_NOUN', 'общественность_NOUN', 'родитель_NOUN', 'закон_NOUN', 'представитель_NOUN', 'работодатель_NOUN', 'общий_ADJ', 'число_NOUN', 'образование_NOUN', 'организация_NOUN', 'пользование_NOUN', 'основа_NOUN', 'выработка_NOUN', 'управленческий_ADJ', 'решение_NOUN', 'результат_NOUN', 'оценка_NOUN', 'качество_NOUN', 'образование_NOUN']",-1
275,УВЕЛИЧЕНИЕ КОЛИЧЕСТВА ДЕТЕЙ ПОЛУЧАЮЩИХ ДОПОЛНИТЕЛЬНОЕ ОБРАЗОВАНИЕ,"['увеличение_NOUN', 'количество_NOUN', 'ребенок_NOUN', 'получение_NOUN', 'дополнительный_ADJ', 'образование_NOUN']",23
328,ДОЛЯ НАСЕЛЕНИЯ УЧАСТВУЮЩЕГО В КОЛЛЕКТИВАХ НАРОДНОГО ТВОРЧЕСТВА И ШКОЛАХ ИСКУССТВ,"['доля_NOUN', 'население_NOUN', 'участвующий_NOUN', 'коллектив_NOUN', 'народ_NOUN', 'творчество_NOUN', 'школа_NOUN', 'искусство_NOUN']",-1
333,ОТНОШЕНИЕ СРЕДНЕМЕСЯЧНОЙ ЗАРАБОТНОЙ ПЛАТЫ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ МУНИЦИПАЛЬНЫХ ОБРАЗОВАТЕЛЬНЫХ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ К СРЕДНЕЙ ЗАРАБОТНОЙ ПЛАТЕ В ЭКОНОМИКЕ РЕГИОНА,"['отношение_NOUN', 'среднемесячный_ADJ', 'заработный_ADJ', 'плата_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'муниципальный_ADJ', 'образование_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'среднее_NOUN', 'заработный_ADJ', 'плата_NOUN', 'экономика_NOUN', 'регион_NOUN']",-1
401,ФОНД ЗАРАБОТНОЙ ПЛАТЫ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ В ОРГАНИЗАЦИЯХ ОБРАЗОВАНИЯ,"['фонд_NOUN', 'заработный_ADJ', 'плата_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'организация_NOUN', 'образование_NOUN']",12
404,СРЕДНЕСПИСОЧНАЯ ЧИСЛЕННОСТЬ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ В УЧРЕЖДЕНИЯХ КУЛЬТУРЫ,"['среднесписочный_ADJ', 'численность_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'учреждение_NOUN', 'культура_NOUN']",10
405,СРЕДНЕСПИСОЧНАЯ ЧИСЛЕННОСТЬ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ОРГАНИЗАЦИЙ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ДЕТЕЙ В ОРГАНИЗАЦИЯХ ОБРАЗОВАНИЯ,"['среднесписочный_ADJ', 'численность_NOUN', 'педагогический_ADJ', 'работник_NOUN', 'организация_NOUN', 'дополнительный_ADJ', 'образование_NOUN', 'ребенок_NOUN', 'организация_NOUN', 'образование_NOUN']",10
